nome,lon,lat,ra
CED AGROURBANO IPE RIACHO FUNDO,-48.01506336560538,-15.947284854408945,RIACHO FUNDO II
CEI DO RIACHO FUNDO II,-48.050958285087866,-15.895941005420648,RIACHO FUNDO II
EC 01 DO RIACHO FUNDO II,-48.04623738350958,-15.91505336505878,RIACHO FUNDO II
EC 02 DO RIACHO FUNDO II,-48.04979933549921,-15.89660467663424,RIACHO FUNDO II
EC AGROVILA II,-48.03472594825622,-15.939349671580247,RIACHO FUNDO II
JI 01 DO RIACHO FUNDO II,-48.04454864765926,-15.902271743724842,RIACHO FUNDO II
EC GUARIROBA,-48.1574467277872,-15.872312963784854,SAMAMBAIA
CAIC AYRTON SENNA,-48.11240946909899,-15.889830210497687,SAMAMBAIA
CAIC HELENA REIS,-48.105545971750246,-15.877370404579013,SAMAMBAIA
CED 123 DE SAMAMBAIA,-48.12280030125149,-15.893871193623468,SAMAMBAIA
CEE 01 DE SAMAMBAIA,-48.09401502089902,-15.884732763354405,SAMAMBAIA
CEF 120 DE SAMAMBAIA,-48.059382380050735,-15.869652318780803,SAMAMBAIA
CEF 312 DE SAMAMBAIA,-48.068768510703286,-15.876553826904903,SAMAMBAIA
CEF 404 DE SAMAMBAIA,-48.08422809856067,-15.866692853292541,SAMAMBAIA
CEF 411 DE SAMAMBAIA,-48.110173408878914,-15.877699036247414,SAMAMBAIA
CEF 412 DE SAMAMBAIA,-48.0748081995728,-15.856375722953349,SAMAMBAIA
CEF 427 DE SAMAMBAIA,-48.138700776854236,-15.892392369624979,SAMAMBAIA
CEF 504 DE SAMAMBAIA,-48.07816809562225,-15.882292116888737,SAMAMBAIA
CEF 507 DE SAMAMBAIA,-48.09766074043426,-15.890676372785915,SAMAMBAIA
CEF 519 DE SAMAMBAIA,-48.11540822267638,-15.89704043196658,SAMAMBAIA
CED 619 DE SAMAMBAIA,-48.12218960257483,-15.879282971311495,SAMAMBAIA
CED MYRIAM ERVILHA,-48.24200930840427,-15.940605092061382,SAMAMBAIA
CEI 307 DE SAMAMBAIA,-48.099137015844356,-15.885459259256637,SAMAMBAIA
CEM 304 DE SAMAMBAIA,-48.07904994185098,-15.879134129525914,SAMAMBAIA
CEM 414 DE SAMAMBAIA,-48.07222963250286,-15.859116873144375,SAMAMBAIA
EC 108 DE SAMAMBAIA,-48.07482054430018,-15.872698789079397,SAMAMBAIA
EC 111 DE SAMAMBAIA,-48.10549481557907,-15.88576293298627,SAMAMBAIA
EC 121 DE SAMAMBAIA,-48.12024316559242,-15.89257572443264,SAMAMBAIA
EC 303 DE SAMAMBAIA,-48.094249093820636,-15.882116063695324,SAMAMBAIA
EC 317 DE SAMAMBAIA,-48.11093923334469,-15.891224173515809,SAMAMBAIA
EC 318 DE SAMAMBAIA,-48.06297274643943,-15.875334116133958,SAMAMBAIA
EC 325 DE SAMAMBAIA,-48.12297459216818,-15.897226144028103,SAMAMBAIA
EC 403 DE SAMAMBAIA,-48.09759587989004,-15.873188534585134,SAMAMBAIA
CEF 407 DE SAMAMBAIA,-48.10343018422166,-15.875262367118486,SAMAMBAIA
EC 410 DE SAMAMBAIA,-48.07993310453966,-15.858719261179047,SAMAMBAIA
EC 415 DE SAMAMBAIA,-48.11666928439376,-15.8795474494028,SAMAMBAIA
EC 419 DE SAMAMBAIA,-48.11972722274674,-15.885215964895655,SAMAMBAIA
EC 425 DE SAMAMBAIA,-48.12500709113253,-15.887547893255894,SAMAMBAIA
EC 431 DE SAMAMBAIA,-48.14405406340214,-15.895482726166474,SAMAMBAIA
EC 501 DE SAMAMBAIA,-48.08686015081549,-15.885892755453726,SAMAMBAIA
EC 510 DE SAMAMBAIA,-48.07189625680047,-15.880718277789938,SAMAMBAIA
EC 511 DE SAMAMBAIA,-48.10304755218882,-15.890450058115947,SAMAMBAIA
EC 512 DE SAMAMBAIA,-48.06794038003327,-15.878986044051512,SAMAMBAIA
EC 604 DE SAMAMBAIA,-48.087454557005266,-15.860644973458015,SAMAMBAIA
EC 614 DE SAMAMBAIA,-48.07461614110188,-15.853164711239453,SAMAMBAIA
EC 831 DE SAMAMBAIA,-48.14790035220673,-15.888066561382535,SAMAMBAIA
