FID,fid,the_geom,id,longitud0,latitude1,porta_ab2,cod_cnes3,nome_est4,nomecomp5,cod_tipo6,tipo
saude_sala_situacao_2.1,1,MULTIPOINT ((181866.5312123709 8245514.133302469)),1,-47.970083,-15.848998,sim,0011274,UBS 3 Guará,UBS 03 GUARA,2,UBS
saude_sala_situacao_2.2,2,MULTIPOINT ((181866.5312123709 8245514.133302469)),2,-47.970083,-15.848998,sim,9263632,UBS 5 Guará,UBS 05 GUARA,2,UBS
saude_sala_situacao_2.3,3,MULTIPOINT ((180173.559859498 8229513.119921941)),3,-47.98801,-15.99324,sim,3144569,UBS 7 Santa Maria,UBS 7 SANTA MARIA,2,UBS
saude_sala_situacao_2.4,4,MULTIPOINT ((215320.7996437386 8270799.514344686)),4,-47.655044,-15.624705,sim,0011096,UBS 3 Planaltina,UBS 3 PLANALTINA,2,UBS
saude_sala_situacao_2.5,5,MULTIPOINT ((190076.13724950067 8254012.641130784)),5,-47.8924184,-15.7733019,sim,0010707,UBS 1 Asa Norte,UBS 1 ASA NORTE,2,UBS
saude_sala_situacao_2.6,6,MULTIPOINT ((216574.59603028244 8272185.190053898)),6,-47.643199,-15.612332,sim,0010650,UBS 2 Planaltina,UBS 2 PLANALTINA,2,UBS
saude_sala_situacao_2.7,7,MULTIPOINT ((185430.69024767628 8252811.945262214)),7,-47.9358883,-15.7835622,sim,0010758,UBS 2 Cruzeiro,UBS 2 CRUZEIRO,2,UBS
saude_sala_situacao_2.8,8,MULTIPOINT ((188344.25557122065 8247399.240510876)),8,-47.90942,-15.832798,sim,0011150,UBS 1 Asa Sul,UBS 01 ASA SUL,2,UBS
saude_sala_situacao_2.9,9,MULTIPOINT ((191995.16201779438 8259325.651765603)),9,-47.87385,-15.725567,sim,0011177,UBS 1 Lago Norte,UBS 1 LAGO NORTE,2,UBS
saude_sala_situacao_2.10,10,MULTIPOINT ((164688.39305211074 8248593.442574741)),10,-48.12986111,-15.81894444,sim,7347715,UBS 1 Ceilândia,UBS 1 ESF SOL NASCENTE TRECHO II CEILANDIA,2,UBS
saude_sala_situacao_2.11,11,MULTIPOINT ((210051.1233629571 8232345.58100273)),11,-47.708768,-15.971361,sim,7975295,UBS 8 São Sebastião,UBS 8 CAVAS DE BAIXO - SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.12,12,MULTIPOINT ((179988.8411808352 8227935.922821383)),12,-47.989946,-16.007455,sim,0010669,UBS 2 Santa Maria,UBS 2 SANTA MARIA,2,UBS
saude_sala_situacao_2.13,13,MULTIPOINT ((213249.62316993036 8269756.146140361)),13,-47.674468,-15.633893,sim,2804123,UBS 12 Planaltina,UBS 12 BICA DO DER PLANALTINA,2,UBS
saude_sala_situacao_2.14,14,MULTIPOINT ((230000.17445190495 8270467.2736138925)),14,-47.518272,-15.629319,sim,2804174,UBS 10 Planaltina,UBS 10 TAQUARA PLANALTINA,2,UBS
saude_sala_situacao_2.15,15,MULTIPOINT ((192049.88491671399 8273194.519804787)),15,-47.871589,-15.600348,sim,2804360,UBS 1 Fercal,UBS 1 ENGENHO VELHO FERCAL,2,UBS
saude_sala_situacao_2.16,16,MULTIPOINT ((183825.08178482292 8271018.334298708)),16,-47.948493,-15.618981,sim,2804387,UBS 6 Sobradinho,UBS 6 LAGO OESTE SOBRADINHO,2,UBS
saude_sala_situacao_2.17,17,MULTIPOINT ((219062.52634097426 8282039.280152772)),17,-47.618887,-15.523615,sim,3144666,UBS 17 Planaltina,UBS 17 JARDIM MORUMBI PLANALTINA,2,UBS
saude_sala_situacao_2.18,18,MULTIPOINT ((163498.57810947887 8240677.4158213595)),18,-48.142062,-15.890241,sim,0010677,UBS 3 Samambaia,UBS 03 SAMAMBAIA,2,UBS
saude_sala_situacao_2.19,19,MULTIPOINT ((160084.23620230565 8279549.375659481)),19,-48.16847222,-15.53888889,sim,0011495,UBS 6 Brazlândia,UBS 6 ALMECEGAS BRAZLANDIA,2,UBS
saude_sala_situacao_2.20,20,MULTIPOINT ((203108.78526108543 8239908.7594943065)),20,-47.772632,-15.902241,sim,0010790,UBS 1 São Sebastião,UBS 1 SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.21,21,MULTIPOINT ((199115.5212084102 8238901.103195736)),21,-47.810019,-15.910858,sim,3028011,UBS 15 São Sebastião,UBS 15 CIR - SAO SEBASTIAO,2,UBS
saude_sala_situacao_2.22,22,MULTIPOINT ((215732.01818850462 8271666.567269428)),22,-47.651111,-15.616921,sim,9566961,UBS 18 Planaltina,UBS 18 PLANALTINA,2,UBS
saude_sala_situacao_2.23,23,MULTIPOINT ((214749.78236238618 8273025.588583082)),23,-47.660106,-15.604537,sim,9566988,UBS 19 Planaltina,UBS 19 PLANALTINA,2,UBS
saude_sala_situacao_2.24,24,MULTIPOINT ((171015.69527134503 8227368.519393369)),24,-48.073777,-16.011394,sim,0010871,UBS 6 Gama,UBS 6 GAMA,2,UBS
saude_sala_situacao_2.25,25,MULTIPOINT ((166359.88379581523 8247153.316219994)),25,-48.114475,-15.832169,sim,9643338,UBS 18 Ceilândia,UBS 18 CAIC BERNARDO SAYAO,2,UBS
saude_sala_situacao_2.26,26,MULTIPOINT ((216894.58188472374 8271529.220178927)),26,-47.640293,-15.618292,sim,5167817,UBS 1 Planaltina,UBS 1 PLANALTINA,2,UBS
saude_sala_situacao_2.27,27,MULTIPOINT ((212570.33122186753 8271310.131101746)),27,-47.680616,-15.619782,sim,6216013,UBS 4 Planaltina,UBS 4 PLANALTINA,2,UBS
saude_sala_situacao_2.28,28,MULTIPOINT ((216195.0758694741 8269192.105357042)),28,-47.647083,-15.63932,sim,6216021,UBS 5 Planaltina,UBS 5 PLANALTINA,2,UBS
saude_sala_situacao_2.29,29,MULTIPOINT ((190235.51408301893 8268111.146290593)),29,-47.889136,-15.646025,sim,6770657,UBS 5 Sobradinho,UBS 5 BASEVI SOBRADINHO,2,UBS
saude_sala_situacao_2.30,30,MULTIPOINT ((197437.38223837706 8270989.853154753)),30,-47.821668,-15.620906,sim,6770681,UBS 3 Sobradinho II,UBS 3 VALE DOS PINHEIROS SOBRADINHO II,2,UBS
saude_sala_situacao_2.31,31,MULTIPOINT ((174071.00890921452 8237202.316990545)),31,-48.043917,-15.923025,sim,5038669,UBS 1 Riacho Fundo II,UBS 01 RIACHO FUNDO II,2,UBS
saude_sala_situacao_2.32,32,MULTIPOINT ((202130.7105485354 8254607.7555703875)),32,-47.779941,-15.769394,sim,0010634,UBS 1 Paranoá,UBS 1 - PARANOA,2,UBS
saude_sala_situacao_2.33,33,MULTIPOINT ((168265.26531282504 8247312.674019128)),33,-48.09668541,-15.83098504,sim,0010995,UBS 3 Ceilândia,UBS 3 CEILANDIA,2,UBS
saude_sala_situacao_2.34,34,MULTIPOINT ((166601.6522683492 8250357.382708364)),34,-48.11177778,-15.80327778,sim,0011010,UBS 5 Ceilândia,UBS 5 CEILANDIA,2,UBS
saude_sala_situacao_2.35,35,MULTIPOINT ((166403.1610791987 8246264.922217801)),35,-48.11419444,-15.84019444,sim,0011029,UBS 6 Ceilândia,UBS 6 CEILANDIA,2,UBS
saude_sala_situacao_2.36,36,MULTIPOINT ((164522.53986315412 8251159.646489683)),36,-48.131051,-15.795757,sim,0011037,UBS 7 Ceilândia,UBS 7 CEILANDIA,2,UBS
saude_sala_situacao_2.37,37,MULTIPOINT ((164662.1880292 8249921.005283809)),37,-48.129921,-15.806957,sim,0011045,UBS 8 Ceilândia,UBS 8 CEILANDIA,2,UBS
saude_sala_situacao_2.38,38,MULTIPOINT ((165416.92651658267 8245540.102982816)),38,-48.123492,-15.846605,sim,0011053,UBS 9 Ceilândia,UBS 9 CEILANDIA,2,UBS
saude_sala_situacao_2.39,39,MULTIPOINT ((164272.56301383005 8250876.137011888)),39,-48.133420944,-15.798282623,sim,0011061,UBS 11 Ceilândia,UBS 11 CEILANDIA,2,UBS
saude_sala_situacao_2.40,40,MULTIPOINT ((180059.572153282 8248897.8841704065)),40,-47.986487,-15.818217,sim,0011118,UBS 1 Guará,UBS 01 GUARA,2,UBS
saude_sala_situacao_2.41,41,MULTIPOINT ((182390.55707222683 8243137.246780531)),41,-47.965509295,-15.870524358,sim,0011126,UBS 1 Núcleo Bandeirante,UBS 01 NUCLEO BANDEIRANTE,2,UBS
saude_sala_situacao_2.42,42,MULTIPOINT ((176207.94942162593 8241421.659787823)),42,-48.02341,-15.885214,sim,0011169,UBS 1 Riacho Fundo I,UBS 01 RIACHO FUNDO I,2,UBS
saude_sala_situacao_2.43,43,MULTIPOINT ((183871.57687355613 8245452.517437985)),43,-47.95139,-15.84981,sim,0011185,UBS 1 Candangolândia,UBS 01 CANDANGOLANDIA,2,UBS
saude_sala_situacao_2.44,44,MULTIPOINT ((166454.88760789484 8247998.121406088)),44,-48.11347222,-15.82455556,sim,0011207,UBS 10  Ceilândia,UBS 10 CEILANDIA,2,UBS
saude_sala_situacao_2.45,45,MULTIPOINT ((157481.5222855953 8264188.704633904)),45,-48.194854,-15.677194,sim,0011215,UBS 1 Brazlândia,UBS 1 BRAZLANDIA,2,UBS
