FID,fid,the_geom,id,endereco,orgao,telefone,unidade_op,sigla,cpr,georef,area_upm,atualizaca,nome_ra,tipo_2
seguranca_2.1,1,MULTIPOINT ((168936.1445000004 8247968.0065)),1,Setor L Norte QNL 22 Cj F Lt 4,PMDF,,77ª Posto Comunitário Segurança,PCS 077,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.2,2,MULTIPOINT ((169946.37789999973 8249009.5914)),2,Setor J Norte QNJ 43 Lt 18,PMDF,,89ª Posto Comunitário Segurança,PCS 089,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.3,3,MULTIPOINT ((168789.97640000004 8246506.361)),3,Centro Metropolitano Praça da Estrela Lt 1,PCDF,3336 3335,Academia de Polícia Civil,APC,,,,,Taguatinga,Policia Civil
seguranca_2.4,4,MULTIPOINT ((172386.9458999997 8250956.3291)),4,Setor G Norte QNG AE 22 PMDF,PMDF,96666012,Batalhao de Aviacao Operacional,BAvOp,CME,NUACRI/SOSP,BAvOp,,Taguatinga,Batalhao da PM
seguranca_2.5,5,MULTIPOINT ((171311.1797000002 8249216.8991)),5,Setor F Norte CNF 2 Lt 10,PMDF,,67ª Posto Comunitário Segurança,PCS 067,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.6,6,MULTIPOINT ((172153.0845999997 8247146.0518)),6,Setor Central AE 8 2º BPM,PMDF,3561 6090,2º Batalhao de Policia Militar,2º BPM,,,,,Taguatinga,Batalhao da PM
seguranca_2.7,7,MULTIPOINT ((172211.89209999982 8247166.0934)),7,Setor Central AE 7 CBMDF,CBMDF,3202 5245,2º Grupamento de Bombeiro Militar,2º GBM,,,,,Taguatinga,Batalhao ou Grupamento de Bombeiros
seguranca_2.8,8,MULTIPOINT ((172804.14829999954 8247301.1873)),8,Setor Central AE Delegacia,PCDF,3352 0735,12ª  Delegacia Policial,12ª DP,,,,,Taguatinga,Delegacia
seguranca_2.9,9,MULTIPOINT ((174741.8694000002 8243709.529)),9,Setor F Sul QSF 2 Lt 110,PMDF,,66ª Posto Comunitário Segurança,PCS 066,CPRO,NUACRI/SOSP,2º BPM,,Taguatinga,Posto Comunitario
seguranca_2.10,10,MULTIPOINT ((174553.9369000001 8246680.3069)),10,Rua 34 Sul Lt 8,PMDF,,94ª Posto Comunitário Segurança,PCS 094,CPRO,NUACRI/SOSP,17º BPM,,Águas Claras,Posto Comunitario
seguranca_2.11,11,MULTIPOINT ((176769.5416000001 8247161.3791)),11,Q 103 Praça Juriti Lt 4,PMDF,,12ª Posto Comunitário Segurança,PCS 012,CPRO,NUACRI/SOSP,17º BPM,,Águas Claras,Posto Comunitario
seguranca_2.12,12,MULTIPOINT ((175757.0708999997 8242718.8435)),12,QS 9 Rua 123 Lt 9,PCDF,3356 3322,21ª  Delegacia Policial,21ª DP,,,,,Taguatinga,Delegacia
seguranca_2.13,13,MULTIPOINT ((177008.91079999972 8249373.6282)),13,Setor Habitacional Vicente Pires/Gleba 2 Rua da Feira Q 2E Lt 3,PMDF,,11ª Posto Comunitário Segurança,PCS 011,CPRO,NUACRI/SOSP,17º BPM,,Vicente Pires,Posto Comunitario
seguranca_2.14,14,MULTIPOINT ((172670.26219999976 8250545.8323)),14,SH Vicente Pires/Colônia Agrícola São José Chac 15B Lt 1,PMDF,,88ª Posto Comunitário Segurança,PCS 088,CPRO,NUACRI/SOSP,17º BPM,,Vicente Pires,Posto Comunitario
seguranca_2.15,15,MULTIPOINT ((168460.84379999992 8249338.2676)),15,Setor L Norte QNL 30 Cj A Lt 2/4/6,DETRANDF,3901 4259,DIVTRAN III,DIVTRAN III,,,,,Ceilândia,DETRAN
seguranca_2.16,16,MULTIPOINT ((202667.98249999993 8239783.6609)),16,Bairro Resid Oeste EQ 201/202 Lt 2,PMDF,96182674,21ª Batalhao Policia Militar,21º BPM,CPRL,NUACRI/SOSP,21º BPM,,Sao Sebastiao,Batalhao da PM
seguranca_2.17,17,MULTIPOINT ((202693.3515999997 8239755.2608)),17,Bairro Resid Oeste EQ 201/202 Lt 1,CBMDF,3901 8560,17ª Grupamento de Bombeiro Militar,17ª GBM,,,,,São Sebastião,Batalhao ou Grupamento de Bombeiros
seguranca_2.18,18,MULTIPOINT ((202558.45390000008 8240675.2772)),18,"Quadra 02 - Conjunto 02 - Lote 01,Av. Comercial",PCDF,3335 3738,30ª  Delegacia Policial,30ª DP,,,,,São Sebastião,Delegacia
seguranca_2.19,19,MULTIPOINT ((205229.88379999995 8239334.6498)),19,Bairro Resid do Bosque Rua 13 Lt 231,PMDF,,31ª Posto Comunitário Segurança,PCS 031,CPRL,NUACRI/SOSP,21º BPM,,São Sebastião,Posto Comunitario
seguranca_2.20,20,MULTIPOINT ((200377.80169999972 8267397.2213)),20,Setor Administrativo Q Central Lt M,PCDF,3591 2053,13ª  Delegacia Policial,13ª DP,,,,,Sobradinho,Delegacia
seguranca_2.21,21,MULTIPOINT ((200691.2921000002 8267539.8951)),21,Setor Administrativo Q Central Lt O,CBMDF,3901 2924,22º Grupamento de Bombeiro Militar,22º GBM,,,,,Sobradinho,Batalhao ou Grupamento de Bombeiros
seguranca_2.22,22,MULTIPOINT ((201834.13570000045 8267596.9828)),22,Q 14 AE 29,DETRANDF,3901 3350,SERTRAN I,SERTRAN I,,,,,Sobradinho,DETRAN
seguranca_2.23,23,MULTIPOINT ((200294.02219999954 8266466.748)),23,Setor de Expansão Econômica Q 4 Lt 8,PMDF,,75ª Posto Comunitário Segurança,PCS 075,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho,Posto Comunitario
seguranca_2.24,24,MULTIPOINT ((196912.3970999997 8268724.0066)),24,AR 5 Cj 11 Lt 7,PCDF,3485 4004,35ª  Delegacia Policial,35ª DP,,,,,Sobradinho II,Delegacia
seguranca_2.25,25,MULTIPOINT ((197118.7577999998 8268303.1471)),25,Avenida Central Cj 5 Lt 24,PMDF,,111ª Posto Comunitário Segurança,PCS 111,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho II,Posto Comunitario
seguranca_2.26,26,MULTIPOINT ((202285.39360000007 8256057.2165)),26,SH Itapoã/Cond Itapoã I Q 2 Cj A Lt 1A,PMDF,,41ª Posto Comunitário Segurança,PCS 041,CPRL,NUACRI/SOSP,20º BPM,,Itapoã,Posto Comunitario
seguranca_2.27,27,MULTIPOINT ((176444.85400000028 8224576.0878)),27,SH Ribeirão/Cond Porto Rico Etapa 1 Q 8 Lt 14,PMDF,,81ª Posto Comunitário Segurança,PCS 081,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.28,28,MULTIPOINT ((180102.71140000038 8228958.3335)),28,AC 118 Cj A Lt 2,CBMDF,3901 8562,18ª Grupamento de Bombeiro Militar,18ª GBM,,,,,Santa Maria,Batalhao ou Grupamento de Bombeiros
seguranca_2.29,29,MULTIPOINT ((179492.74920000043 8228706.918)),29,QR 121 Cj D Lt 1,PMDF,,95ª Posto Comunitário Segurança,PCS 095,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.30,30,MULTIPOINT ((178650.75289999973 8228003.2057)),30,CL 114 Lt A,PCDF,3395 2000,33ª  Delegacia Policial,33ª DP,,,,,Santa Maria,Delegacia
seguranca_2.31,31,MULTIPOINT ((169988.09250000026 8243537.3697)),31,QN 206 Cj A Lt 2,PMDF,,17ª Posto Comunitário Segurança,PCS 017,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.32,32,MULTIPOINT ((167269.14639999997 8241940.8656)),32,QS 411 AE 1,PCDF,3359 1413,26ª  Delegacia Policial,26ª DP,,,,,Samambaia,Delegacia
seguranca_2.33,33,MULTIPOINT ((167452.28870000038 8240823.2269)),33,QR 313 Cj 14 Lt 5,PMDF,,65ª Posto Comunitário Segurança,PCS 065,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.34,34,MULTIPOINT ((171036.6163999997 8243088.3575)),34,QR 112 Cj 5 Lt 9,PMDF,,69ª Posto Comunitário Segurança,PCS 069,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Posto Comunitario
seguranca_2.35,35,MULTIPOINT ((168494.1118999999 8242522.3754)),35,QN 203 AE 1 PMDF,PMDF,99652144,11ª Batalhao Policia Militar,11º BPM,CPRO,NUACRI/SOSP,11º BPM,,Samambaia,Batalhao da PM
seguranca_2.36,36,MULTIPOINT ((173251.66959999967 8239710.1068)),36,Riacho Fundo II QN 9A Cj 2 Lt 3,PMDF,,3ª Posto Comunitário Segurança,PCS 003,CPRS,NUACRI/SOSP,28º BPM,,Riacho Fundo II,Posto Comunitario
seguranca_2.37,37,MULTIPOINT ((177124.68039999995 8240974.6602)),37,Colônia Agrícola Sucupira Chac 7 Lt 14,PMDF,,51ª Posto Comunitário Segurança,PCS 051,CPRS,NUACRI/SOSP,28º BPM,,Riacho Fundo I,Posto Comunitario
